variantId,parentFixtureId,split,dataMode,strategy,selectionStatus,candidateSetSignature,candidateCount,selectedCandidateId,actionKinds,feasibility,hardConstraintViolation,baselineMinimumBudget,candidateMinimumBudget,safetyGain,breachOutcome,etaDeltaMinutes,stopCountImbalance,recipientMinimumBudget,recommendationScore,reasonCodes
frozen-scenario-heat-heavy-stairs-v1-shift-plus-60m-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,SAFEROUTE,SELECTED,635bf838,5,candidate-ae93f1be,REST|SAFE_DELAY,FEASIBLE,false,29.926719,38.466767,8.540048,AVOIDED,10,7,,4.733413,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-heat-heavy-stairs-v1-continuous-plus-15m-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,FASTEST_ONLY,SELECTED,93489162,5,candidate-9008b315,SAFE_DELAY,FEASIBLE,false,29.9973,33.731975,3.734675,AVOIDED,9,7,,-1.025542,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-heat-heavy-stairs-v1-continuous-plus-15m-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,BALANCED_ONLY,SELECTED,93489162,5,candidate-9008b315,SAFE_DELAY,FEASIBLE,false,29.9973,33.731975,3.734675,AVOIDED,9,7,,-1.025542,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-heat-heavy-stairs-v1-continuous-plus-15m-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,SAFEROUTE,SELECTED,93489162,5,candidate-89be72e3,REST|SAFE_DELAY,FEASIBLE,false,29.9973,38.816767,8.819467,AVOIDED,10,7,,5.199112,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-heat-heavy-stairs-v1-continuous-plus-30m-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,FASTEST_ONLY,SELECTED,c9276874,5,candidate-5581ca38,SAFE_DELAY,FEASIBLE,false,29.8098,33.600725,3.790925,AVOIDED,9,7,,-0.931792,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-heat-heavy-stairs-v1-continuous-plus-30m-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,BALANCED_ONLY,SELECTED,c9276874,5,candidate-5581ca38,SAFE_DELAY,FEASIBLE,false,29.8098,33.600725,3.790925,AVOIDED,9,7,,-0.931792,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-heat-heavy-stairs-v1-continuous-plus-30m-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,SAFEROUTE,SELECTED,c9276874,5,candidate-f0a8d8f2,REST|SAFE_DELAY,FEASIBLE,false,29.8098,38.816767,9.006967,AVOIDED,10,7,,5.511612,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-heat-heavy-stairs-v1-remaining-weight-plus-10pct-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,FASTEST_ONLY,SELECTED,73b6883f,5,candidate-f1d4a6ba,SAFE_DELAY,FEASIBLE,false,29.84208,33.808435,3.966355,AVOIDED,9,7,,-0.639408,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-heat-heavy-stairs-v1-remaining-weight-plus-10pct-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,BALANCED_ONLY,SELECTED,73b6883f,5,candidate-f1d4a6ba,SAFE_DELAY,FEASIBLE,false,29.84208,33.808435,3.966355,AVOIDED,9,7,,-0.639408,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-heat-heavy-stairs-v1-remaining-weight-plus-10pct-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,SAFEROUTE,SELECTED,73b6883f,5,candidate-32a6dd74,REST|SAFE_DELAY,FEASIBLE,false,29.84208,38.761977,8.919897,AVOIDED,10,7,,5.366495,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-heat-heavy-stairs-v1-rain-plus-2mmh-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,FASTEST_ONLY,SELECTED,95030ed1,5,candidate-b92d62a9,SAFE_DELAY,FEASIBLE,false,29.9323,33.686475,3.754175,AVOIDED,9,7,,-0.993042,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-heat-heavy-stairs-v1-rain-plus-2mmh-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,BALANCED_ONLY,SELECTED,95030ed1,5,candidate-b92d62a9,SAFE_DELAY,FEASIBLE,false,29.9323,33.686475,3.754175,AVOIDED,9,7,,-0.993042,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-heat-heavy-stairs-v1-rain-plus-2mmh-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,SAFEROUTE,SELECTED,95030ed1,5,candidate-8562101f,REST|SAFE_DELAY,FEASIBLE,false,29.9323,38.640017,8.707717,AVOIDED,10,7,,5.012862,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-heat-heavy-stairs-v1-visibility-minus-20pct-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,FASTEST_ONLY,SELECTED,c4375dde,5,candidate-d5d59fa6,SAFE_DELAY,FEASIBLE,false,29.9278,33.863225,3.935425,AVOIDED,9,7,,-0.690958,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-heat-heavy-stairs-v1-visibility-minus-20pct-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,BALANCED_ONLY,SELECTED,c4375dde,5,candidate-d5d59fa6,SAFE_DELAY,FEASIBLE,false,29.9278,33.863225,3.935425,AVOIDED,9,7,,-0.690958,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-heat-heavy-stairs-v1-visibility-minus-20pct-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,SAFEROUTE,SELECTED,c4375dde,5,candidate-9274ec60,REST|SAFE_DELAY,FEASIBLE,false,29.9278,38.816767,8.888967,AVOIDED,10,7,,5.314945,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-heat-heavy-stairs-v1-uphill-plus-2pct-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,FASTEST_ONLY,SELECTED,5189e038,5,candidate-6ab90862,SAFE_DELAY,FEASIBLE,false,29.788911,33.766003,3.977092,AVOIDED,9,7,,-0.621513,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-heat-heavy-stairs-v1-uphill-plus-2pct-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,BALANCED_ONLY,SELECTED,5189e038,5,candidate-6ab90862,SAFE_DELAY,FEASIBLE,false,29.788911,33.766003,3.977092,AVOIDED,9,7,,-0.621513,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-heat-heavy-stairs-v1-uphill-plus-2pct-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,SAFEROUTE,SELECTED,5189e038,5,candidate-e03897bc,REST|SAFE_DELAY,FEASIBLE,false,29.788911,38.719544,8.930633,AVOIDED,10,7,,5.384388,CONSENT_REQUIRED_BEFORE_APPLY
